Securitization,Ally Auto Receivables Trust 2017-1,Ally Auto Receivables Trust 2017-2,AmeriCredit Automobile Receivables Trust 2017-1,AmeriCredit Automobile Receivables Trust 2017-2,California Republic Auto Receivables Trust 2017-1,CarMax Auto Owner Trust 2017-1,CarMax Auto Owner Trust 2017-2,Ford Credit Auto Owner Trust 2017-A,Honda Auto Receivables 2017-1 Owner Trust,Hyundai Auto Receivables Trust 2017-A,Nissan Auto Receivables 2017-A Owner Trust,Santander Drive Auto Receivables Trust 2017-1,Toyota Auto Receivables 2017-A Owner Trust,Toyota Auto Receivables 2017-B Owner Trust,World Omni Auto Receivables Trust 2017-A,,BMW Vehicle Lease Trust 2017-1,Ford Credit Auto Lease Trust 2017-A,GM Financial Automobile Leasing Trust 2017-1,Mercedes-Benz Auto Lease Trust 2017-A,World Omni Automobile Lease Securitization Trust 2017-A,,
Depositor,Ally Auto Assets LLC,Ally Auto Assets LLC,AFS SenSub Corp.,AFS SenSub Corp.,California Republic Funding LLC,CARMAX AUTO FUNDING LLC,CARMAX AUTO FUNDING LLC,FORD CREDIT AUTO RECEIVABLES TWO LLC,AMERICAN HONDA RECEIVABLES LLC,HYUNDAI ABS FUNDING LLC,NISSAN AUTO RECEIVABLES CORP II,SANTANDER DRIVE AUTO RECEIVABLES LLC,TOYOTA AUTO FINANCE RECEIVABLES LLC,TOYOTA AUTO FINANCE RECEIVABLES LLC,WORLD OMNI AUTO RECEIVABLES LLC,,BMW AUTO LEASING LLC,Ford Credit Auto Lease Two LLC,GMF Leasing LLC,DAIMLER TRUST LEASING LLC,World Omni Auto Leasing LLC,,
Loans,"69,007","67,771","50,671","69,973","20,737","82,256","55,000","66,537","79,235","71,274","50,498","66,797","93,151","75,800","64,939",,"32,968","47,870","54,680","56,402","32,522",,
Cutoff Balance,"1,116,603,712","1,019,852,296","1,011,969,929","1,414,699,881","421,053,019","1,310,000,026","1,000,000,008","1,718,023,630","1,282,051,282","1,297,276,907","1,112,068,201","1,224,015,127","1,610,505,282","1,345,663,993","1,371,460,828",,"1,168,236,489","1,126,132,554","1,364,563,788","2,349,727,719","804,811,641",,
Note Balance,"1,111,580,000","1,015,270,000","930,000,000","1,300,100,000","398,797,000","1,310,000,000","1,000,000,000","1,571,790,000","1,250,000,000","1,210,400,000","1,000,000,000","1,077,130,000","1,500,000,000","1,250,000,000","1,256,450,000",,"1,000,000,000","1,000,000,000","1,214,460,000","1,967,896,000","704,210,000",,
Cutoff,31-Dec-16,28-Feb-17,11-Jan-17,11-Apr-17,31-Jan-17,31-Dec-16,31-Mar-17,1-Jan-17,1-Mar-17,10-Feb-17,28-Feb-17,31-Jan-17,15-Feb-17,31-Mar-15,9-Mar-17,,31-Jan-17,1-Mar-17,31-Jan-17,28-Feb-17,1-Feb-17,,
Closing,31-Jan-17,29-Mar-17,23-Feb-17,17-May-17,16-Feb-17,31-Jan-17,19-Apr-17,25-Jan-17,1-Mar-17,17-Apr-17,28-Mar-17,28-Feb-17,15-Mar-17,TBD,19-Apr-17,,22-Mar-17,28-Mar-17,15-Mar-17,26-Apr-17,15-Mar-17,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Peter's Count,"69,007","67,771","50,671",,"20,737","82,256","67,623","66,537","79,235","71,274","50,499","66,797","93,151",,"64,939",,,,,,,,
Peter's OpenBal,"1,116,603,712","1,042,504,335","1,026,613,920",,"421,053,019","1,332,921,349","1,250,442,261","1,718,023,630","1,312,415,683","1,307,048,149","1,132,706,601","1,232,577,048","1,651,896,388",,"1,164,071,539",,,,,,,,
Start Date,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,
Missing Dates,,,,,,,,,,,,,,,,,,,,,,,
Walk,1,0,0,,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
IncrBal,103,36,613,,49,336,0,30,9,37,9,218,37,,0,,,,,,,,
Pmts,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
Missing,"2,726",0,7,,312,15,0,128,0,710,1,6,0,,0,,,,,,,,
COExtra,4,0,390,,0,11,0,0,0,12,0,4,0,,0,,,,,,,,
Dupes,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
NegOpenBal,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
NegCloseBal,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
RateNeg,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
RatePos,0,0,0,,0,0,0,6,20,0,98,0,0,,0,,,,,,,,
Integer,0,0,0,,0,"46,468","9,184",0,0,0,0,0,0,,0,,,,,,,,
NegCO,"206,996","135,541","201,347",,"41,473","325,761","67,623","131,543","158,470","142,510","100,986","199,750","186,300",,"64,939",,,,,,,,
PartialCO,3,0,263,,0,1,0,193,0,2,1,0,0,,0,,,,,,,,
GreaterCO,1,0,10,,0,0,0,2,0,1,0,2,0,,0,,,,,,,,
NegRepo,"206,996","135,541","201,390",,"41,474","325,751","67,623","131,762","158,470","142,548","100,997","199,755","186,302",,"64,939",,,,,,,,
NegRecov,"206,995","135,541","201,395",,"41,473","325,752","67,623","131,756","158,470","142,503","100,994","199,753","186,300",,"64,939",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Differences,,,,,,,,,,,,,,,,,,,,,,,
Loan Diff,0,,0,,,0,,0,0,,,0,0,,0,,,,,,,,
Bal Diff,0,,"-14,643,991",,,"-22,921,323",,0,"-30,364,401",,,"-8,561,921","41,391,106",,"72,306,008",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Comments,,,"The asset-level data file contains detailed information for each automobile loan contract about its identification, origination, contract terms, financed vehicle, obligor, contract activity, servicing and status. The information presented in this prospectus about the pool of automobile loan contracts is based on calculations made as of the cutoff date. The asset-level data presented in the initial asset-level data filing may have been calculated as of a different date. Further, certain characteristics of the auto loans are required to be calculated differently in the asset-level data filing than how they are calculated in this prospectus. As a result, certain asset-level data presented in this prospectus, including, but not limited to, such data related to principal balances, APRs, original terms, remaining terms, weighted averages, FICO¬ Auto Scores and geographic locations of obligors may not match the data presented in the initial asset- level data filing due to those differences in how this data is calculated.",,,May be from start of period,,"Certain asset-level data, such as data related to collections, repurchased receivables, losses on the receivables and repossessions, may not match the aggregate data provided on the investor report due to differences in how this data is required to be calculated for asset-level data and how this data is calculated for the investor report.",,,,ABS-EE as of closing date (Feb16) so may not match Jan 1st balance exactly,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
